管理番号,管轄会社,優先,都道府県名,（採）拠点,求人No.,企業名,形態,募集人数,職種,勤務地,資格,勤務時間,休日,時給/日給,月収目安,月収例内訳,年収目安,シフト,最寄り駅,通勤手段,交通費,寮費,寮形態,年齢,性別,TT（50057-01ダイハツ九州以外和彫り不可）,色弱,カップル,外国籍,サイズ制限,案件備考,紹介料,特約事項（定着）,備考（紹介料）,面接〆切,赴任日,入社日,選考にかかる日数,最終紹介日⇒入社日,勤務地市町村
os910,OS,,京都,(採)大阪,115904,GSユアサ,請負,5名,自動車用鉛畜電池の製造,京都府福知山市長田野町1-37,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,380円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:00～16:35　休憩65分 ,土日祝,"1,300円/時",21万円程度,勤務/19.92日 残業/15h 深夜/0h 休出/7.5h,252万円程度,日勤,福知山駅,車 バイク,上限3万円迄/月,実費,個室寮,50歳迄(製造経験者55歳迄は面接後判断),男女可,(完全に長袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄,※基本地元通勤者向け。入寮者は都度お伺い。 ・10㎏程の重量物扱いあり、台車が重い為、押す際は踏ん張る等で体力が必要です。 ・冬はスタッドレスタイヤ必須 ・タトゥ⇒長袖の作業服で隠れればOK(派手過ぎるものは応相談) ・送迎なし,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～5日程度,随時問い合わせ,京都府 福知山市
os911,OS,,京都,(採)大阪,10015-01,GSユアサ 京都営業所,請負,1名,大型ﾘﾁｳﾑｲｵﾝ電池製造及びそれに付随する業務,京都府京都市南区吉祥院西ノ庄猪之馬場町１,【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）,①07:55～17:35　休憩100分,5勤2休 ※土日休日もしくはシフト制,"1,300円/時",23万円程度,勤務/20日 残業/20h 深夜/0h 休出/0h,261万円程度,日勤 , JR京都線 西大路駅,バイク 自転車 電車,上限3万円迄/月,実費,個室寮,50代前半迄,男女可能,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄, ・極板工程配属予定（基本立ち仕事。重たい物の取り扱いなし） ・短期退職多い方は難しい ・11月入社限定、祝い金30万円支給,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,毎週水曜日,随時,随時問い合わせ,京都府 京都市
os912,OS,,京都,(採)大阪,11261-01,GSユアサ・テクノロジー,派遣,0名,リチウムイオン電池製造及びそれに付随する業務,京都府京都市南区吉祥院西ノ庄猪之馬場町１,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,300円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:00～16:35　休憩45分,5勤2休,"1,300円/時",24.4万円程度,勤務/20日 残業/25h 深夜/0h 休出/0h,290万円程度,日勤, JR京都線 西大路駅,バイク 自転車 電車,上限3万円迄/月,実費,個室寮,35歳迄,男性のみ,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄,入社祝い金30万円キャンペーン対象(11月入社限定)※支給タイミング確認中※ ・老眼、足腰懸念ない方 ・また頻繁では無いが、15kgほどの重量物を扱う可能性あり・短期退職多い方は難しい,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,毎週水曜日,随時,随時問い合わせ,京都府 京都市
os913,OS,,京都,(採)大阪,10002-01,ナイテック・プレシジョン・アンド・テクノロジーズ,派遣,0名,タッチセンサーの?産・検査業務、その他付随関連業務（検査業務メインの部署に配属予定）,京都府京都市中京区壬生花井町3,"【必要資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間( 1,166円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①09:00～18:00　休憩60分 ②19:00～04:00　休憩60分,土日祝 [ 補足 ] 5勤2休 ,"1,166円/時",23万円程度,勤務/19.83日 残業/20h 深夜/55h 休出/0h,270万円程度,2交替 5勤2休,阪急線 西院駅, バイク 自転車 電車,上限3万円迄/月,無料,寮対応無,55歳迄,男性のみ,不可,不可,不可,不可,5L迄,・老眼不可,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,京都府 京都市
os914,OS,,京都,(採)大阪,652722,ナイテック　京都,派遣,0名,加飾成形品の?産補助・検査業務及び付随する業務 ※作業内容は、目視検査業務となるため女性が多い職場,京都府亀岡市大井町並河3-24-1,"【必要資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間( 1,250円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①09:00～18:00　休憩60分 ②20:00～05:00　休憩60分,土日祝　 ,"1,250円/時",26万円程度,勤務/20日 残業/30h 深夜/55h 休出/0h,300万円程度,2交替,JR?陰本線 並河 徒歩10分,交通機関利用 バイク 自転車 電車,上限3万円迄/月,実費,個室寮,40歳迄,男女可,不可,不可,不可,不可,5L迄,-,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,京都府 亀岡市
os915,OS,,京都,(採)大阪,10004-01,マルホ発條工業　新光悦工場（日勤）,派遣,0名,医療機器部品組み立て設備稼働,京都府南丹市園部町瓜生野京都新光悦村22,"【必要資格】 ・特になし 【契約期間】 ・派遣 【試用期間】 ・2週間( 1,350円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",09:00～17:00　休憩 60分,土日祝,"1,350円/時",21万円程度,勤務/19.6日 残業/20h 深夜/0h 休出/0h,252万円程度,日勤, 山陰本線 園部駅から車で9分,車 バイク 徒歩 自転車,上限3万円迄/月,無料,個室寮,20~45歳位迄,男女可 (どちらかというと女性向きの細かい作業),不可,不可,不可,不可,3L迄,※10004-02の遅番になる可能性がございます。 今回募集は早番日勤の確率が高いです。,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,5日程度,随時問い合わせ,京都府 南丹市
os916,OS,,京都,(採)大阪,10004-02,マルホ発條工業　新光悦工場（夜勤）,派遣,0名,医療機器部品組み立て設備稼働,京都府南丹市園部町瓜生野京都新光悦村22,"【必要資格】 ・特になし 【契約期間】 ・派遣 【試用期間】 ・2週間( 1,350円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",13:00～22:00　休憩60分,土日祝,"1,350円/時",26万円程度,勤務/19.6日 残業/20h 深夜/58h 休出/0h,312万円程度,夜勤, 山陰本線 園部駅から車で9分,車 バイク 徒歩 自転車,上限3万円迄/月,無料,個室寮,20~45歳位迄,男女可 (どちらかというと女性向きの細かい作業),不可,不可,不可,不可,3L迄,※10004-01の早番日勤になる可能性がございます。 今回募集は早番日勤の確率が高いです。,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,5日程度,随時問い合わせ,京都府 南丹市
os917,OS,,京都,(採)大阪,1329150,ビークルエナジージャパン,派遣,0名,ﾘﾁｳﾑｲｵﾝ電池の組?、仕上げ作業,京都府?訓郡??崎町??崎?泉1番地,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,400円/時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:15～18:30　休憩90分 ②20:15～06:30　休憩90分,4勤2休,"1,400円/時",28万円程度,勤務/18日 残業/15h 深夜/60h 休出/8.75h,340万円程度,2交替,山崎駅,徒歩 自転車 電車 ※JR山崎駅から送迎あり。,上限3万円迄/月,無料,個室寮,製造未経験　39歳迄 （40～53歳までは経験必須） (～55歳までは製造経験必須で面接後判断),男性のみ,不可,不可,不可,不可,4L迄,・有機溶剤が合わない方は、NG ・腰痛NG ・車、バイク通勤NG(自宅通勤者もNG) ⇒駅から送迎をご利用いただけます,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,1～2日程度,随時問い合わせ,京都府 ?訓郡??崎町
os918,OS,●,京都,(採)大阪,299713,オムロン　綾部,派遣,5名,産業用センサ製品製造及びそれに付随する業務,京都府綾部市中山町鳴谷3-2,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,100円／時＋皆勤手当400円) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①20:30～05:00   休憩45分 ②09:00～17:30   休憩45分,土日祝,"1,500円/時 （基本給1,100円＋皆勤手当て400円）",28.5万円程度　※2交替目安,勤務/19.75日 残業/17.5h 深夜/62.5h 休出/0h,342万円程度,2交替 日勤,Ｒ舞鶴線 淵垣駅,バイク 車 電車,上限3万円迄/月,無料,個室寮,45歳迄,男女,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,運転免許証あればお伺い可,可（同シフト希望は都度相談）,コミュニケーション問題なく、平仮名が読めれば相談可,5L迄 （ウエスト上限:男性～120cm迄、女性～112cm迄）,入社祝い金30万円キャンペーン対象(11月入社限定)※支給タイミング確認中※ ・男性は15kg程の重量物の扱い可能性あり ・老眼NG ・首のヘルニアNG ・視力：0.7以上（矯正可） ・腰痛：NG（立ち仕事の為） ・ラテックス系のアレルギーがある方はNG,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,11/5 12/10,随時,11/11 12/16,随時,最終12/16入社（紹介〆12/10）,京都府 綾部市
os919,OS,,福井,(採)大阪,10714-01,アイシン福井・若狭,派遣,0名,自動車部品製造の組立、機械OP、検査、運搬等の付帯業務 ※重量物の扱いなし,福井県三方上中郡若狭町若狭テクノバレー,"【必要資格】 ・社会人経験必須 【契約期間】 ・6ヶ月更新 【試用期間】 ・2週間( 1,600円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:25～19:00　休憩65分 ②21:55～08:30　休憩65分 ③08:25～19:00　休憩65分 ④21:55～08:30　休憩65分 ,シフト制 ※5勤2休①②または4勤3休③④ 選択不可,"1,600円/時",37万円程度(5勤2休) 27万円程度(4勤3休),(5勤2休) 勤務/20.33日 残業/40.66h 深夜/61.02h 休出/7.83h  (4勤3休) 勤務/16.5日 残業/0h 深夜/51h 休出/0h,(5勤2休)444万円程度 (4勤3休)324万円程度,2交替,上中駅,公共交通機関 車 バイク,上限3万円迄/月,無料,個室寮,49歳迄 ※社会人経験必要 ,男性のみ,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄,※注意点※ ・社会人経験必須 ・制服ズボンは支給なし ・入社から3日間は本社福井工場にて研修(2泊3日はホテル) 入社初日、寮から本社工場までご自身での移動になります。(交通費支給あり)  ※5勤2休または4勤3休の選択不可※ どちらでも問題ない方の募集となります。 （入社後、生産状況により5勤2休から4勤3休へ変更の可能性もあり）,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,入社前週の月曜日12時〆,入社前週の金曜日あたり,OSでの面接～入社まで 約10日～15日,3～5日程度,随時問い合わせ,福井県 三方上中郡若狭町
os920,OS,,滋賀,(採)大阪,10005-01,島津プレシジョンテクノロジー㈱　瀬田本社,派遣,0名,油圧機器製品の組立,滋賀県大津市月輪1-8-1,"【必要資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間( 1,135円/時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:20～16:50　休憩45分 ②22:15～06:45　休憩45分,土日祝,"1,135円/時",22万円程度,勤務/19.92日 残業/30h 深夜/0h 休出/7.75h ,252万円程度,日勤 ※一ヶ月に一週間のみ夜勤就業の可能性あり,瀬田駅,バイク 自転車 徒歩,上限3万円迄/月,-,寮対応無,54歳迄,女性のみ,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,可,不可,不可,3L迄 ※4L以上は応相談,・特になし,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,滋賀県 大津市
os921,OS,,滋賀,(採)大阪,10526-01,日本カーボン,派遣,0名,炭素（カーボン）製品の素材製造,滋賀県近江八幡市鷹飼町126-1,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,300円/時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:00～16:30　休憩60分 2交替になる可能性高いです,土日,"1,300円/時",26万円程度,勤務/20日 残業/40h 深夜/0h 休出/0h ,312万円程度,日勤 ※交替勤務になる可能性があります。,近江八幡駅,車 バイク 自転車 徒歩,上限3万円迄/月,-,寮対応無,54歳迄,男性のみ,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,3L迄 ※4L以上は応相談,・特になし,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,滋賀県 近江八幡市
os922,OS,,滋賀,(採)大阪,12102-01,明石機械工業　滋賀工場,派遣,0名,自動車部品加工設備のオペレーター作業、目視検査,滋賀県湖南市日枝町1-18,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,600円/時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:00～16:45　休憩65分 ②20:00～04:45　休憩65分,土日,"1,600円/時",31万円程度,勤務/20日 残業/20h 深夜/0h 休出/7.75h,360万円程度,2交替,三雲駅,車 バイク 自転車,上限3万円迄/月,無料,個室寮,49歳迄（経験問わず）,男性のみ,不可,不可,不可,不可,4L迄,・立作業となる為、足腰懸念ない方 ・ライン作業ではあるものの、重量物の取り扱いはほぼなし ・満了慰労金あり：3か月毎に5万円支給※平均出勤率90％以上の方のみ支給 ・短期案件：2024年6月～8月迄を予定,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,1～2日程度,随時問い合わせ,滋賀県 湖南市
os923,OS,,滋賀,(採)大阪,54424,ダイハツディーゼル守山事業所,派遣,5名,船舶用ディーゼルエンジンの部品加工機オペレーター業務,滋賀県守山市阿村町45番地,"【必要資格】 ・フォークリフト所持者歓迎、製造系or整備士など 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,200円/時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:30～17:00　休憩45分,土日祝,"1,400円/時",27万円程度,勤務/20日 残業/20h 深夜/0h 休出/7.75h,324万円程度,日勤,守山駅,車 バイク 自転車 送迎,上限3万円迄/月,実費,個室寮,40歳迄,男性のみ,不可,不可,不可,不可,4L迄,・フォークリフト所持者歓迎、製造系or整備士などの資格のない方は採用厳しい状況です。,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,滋賀県 守山市
os924,OS,,滋賀,(採)大阪,587677,ダイフク外部日野工場,請負,0名,自動搬送機器の作成、調整、検査業務,滋賀県蒲生郡日野町奥之池北山701番地1,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,350円/時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:30～17:00　休憩45分,土日祝,"1,350円/時",23万円程度,勤務/20.17日 残業/10h 深夜/0h 休出/0h,276万円程度,日勤,朝日野駅,車 バイク 自転車,上限3万円迄/月,無料,個室寮,49歳迄,男女可,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,応相談 ※同シフト不可,不可,5L迄,・入寮者の車持ち込み必須（バイクNG）,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,滋賀県 蒲生郡日野町
os925,OS,,滋賀,(採)大阪,10009-02,MOLDINO野洲工場,派遣,0名,切削工具の検品業務,滋賀県野洲市三上35-2,"【必要資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間( 1,100円/時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:30～17:00　休憩45分,土日,"1,100円/時",21万円程度,勤務/20.42日 残業/20h 深夜/0h 休出/7.75h,252万円程度,日勤,野洲駅,車 バイク 自転車 徒歩,上限3万円迄/月,-,寮対応無,45歳迄,男女可,不可,不可,不可,不可,5L迄,・現在、通勤者のみ募集中,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,滋賀県 野洲市
os926,OS,,滋賀,(採)大阪,676797,富士シート 滋賀工場,派遣,0名,軽自動車のシート製造,滋賀県近江八幡市南津田町1950番地,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,300円/時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:15～17:00　休憩55分 ②20:15～05:00　休憩55分,5勤2休(土日以外),"1,300円/時",26万円程度,勤務/20日 残業/25h 深夜/60h 休出/0h ,312万円程度,2交替,近江八幡駅,送迎 車 バイク,上限3万円迄/月,6割補助,個室寮,40歳迄,男性のみ,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,4L迄,・特になし,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,毎週火曜日,随時,随時問い合わせ,滋賀県 近江八幡市
os927,OS,,滋賀,(採)大阪,953375,ジーテクト滋賀,派遣,0名,車体の骨格品製造　プレス工程,滋賀県甲賀市土山町南土山乙41番地,"【必要資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間( 1,400円/時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）",①08:00～17:00　休憩60分 ,土日 (一部日勤専属),"1,400円/時",28万円程度,勤務/20日 残業/25h 深夜/50h 休出/16h,372万円程度,日勤,貴生川駅,送迎 自転車 車 ※バイクNG,上限3万円迄/月,無料,個室寮,45歳迄（長期就業できる方のみ）,男性のみ,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,3L迄,・10kgほどの重量物の取り扱い工程もある為、体力面ご確認ください,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,毎週火曜日,3～5日程度,随時問い合わせ,滋賀県 甲賀市
os928,OS,,滋賀,(採)大阪,2304713,ダイフク滋賀　無期,派遣,8名,自動搬送機の組立・配線,滋賀県蒲生郡日野町中在寺1225,【必要資格】 なし（組立、配線業務経験ある方が好ましい） 【契約期間】 ・3ヶ月更新 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙場所あり）,①08:30～17:00　休憩45分,土日祝,"217,900円/月",25万円程度,勤務/20日 残業/20h 深夜/0h 休出/0h,300万円程度,日勤,,車のみ,上限3万円迄/月,無料,個室寮,40代前半迄,男女可能,不可,不可,不可,不可,4L迄,組立、配線業務経験ある方が好ましい 11月入社限定、祝い金30万円支給,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,滋賀県 蒲生郡日野町
os929,OS,,鳥取,(採)大阪,10867-01,ダイヘン産業機器,派遣,0名,自動溶接機、半導体製造用電源などの組立・検査,鳥取県鳥取市用瀬町樟原273-1,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,800円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（加熱式たばこ専用喫煙室あり）",①08:15～16:45　休憩45分 ②00:00～08:30　休憩45分 ③15:15～21:45　休憩45分,土日祝 ※工程によって5勤3休(土日以外)の場合有り,"1,800円/時",30万円程度,勤務20日/残業10h 深夜0h/休出0h,360万円程度,2交替 ※日勤なる可能性あり,因幡社駅,車 ※持ち込み必須,上限3万円迄/月,無料,個室寮,45歳迄,男性のみ,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,応相談 ※同シフト不可,不可,5L迄,・入寮必須(通勤希望はご相談ください) ・配属工場２つありますが選択不可（※工場間は川を挟んで見える位置くらいなので、あまり変わりないです。） ①安蔵工場②樟原工場 ・日勤ですが繁忙期は交替勤務の為、交替勤務可能な方 ・冬の積雪量がすごい地域の為、車持ち込み必須（冬までにはスタッドレスタイヤ用意してください。） ・ワクチン2回以上の接種証明書の提出必須,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～5日程度,随時問い合わせ,鳥取県 鳥取市
os930,OS,,兵庫,(採)大阪,1106960,グリコマニュファクチャリングジャパン兵庫,派遣,0名,アイスクリーム製造,兵庫県三木市志染町広野5-70,"【必要資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間( 1,400円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙(屋外に喫煙場所あり)",①06:10～15:10　休憩60分 ②13:40～22:40　休憩60分 ③21:40～06:40　休憩60分,土日,"1,400円/時",28万円程度,勤務/20日 残業/20h 深夜/40h 休出/8h,336万円程度,3交替 基本は①~③の3交替。配属部署や状況により①のみ、①と②の2交替の場合も有,志染駅,車 バイク 自転車(20分) ※送迎なし,上限3万円迄/月,寮費3割本人負担 実費2万円弱程度,個室寮,55歳迄,男性のみ,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,5L迄,・自転車通勤可能,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,毎週月曜日,毎週水曜日,毎週金曜日,2日程度,随時問い合わせ,兵庫県 三木市
os931,OS,,兵庫,(採)大阪,4930-15,グリコマニュファクチャリングジャパン兵庫,派遣,0名,アイスクリーム製造 製品検査や梱包作業、箱詰め、簡単な設備操作,兵庫県三木市志染町広野5-70,"【必要資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間( 1,400円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙(屋外に喫煙場所あり)",①11;15～22:35　休憩60分(週3) 11:15～17:05　休憩60分(週2) ②05:45～17:05    休憩60分(週3) 05:45～11:35   休憩60分(週2) ※どちらか希望は言っていただけます,土日,"1,400円/時",24万円程度,勤務/20日 残業/10h 深夜/6h 休出/0h,288万円程度,2交替 変則勤務 ①を週3、②を週2,志染駅,車 バイク 自転車(20分) ※送迎なし,上限3万円迄/月,寮費3割本人負担 実費2万円弱程度,個室寮,55歳迄,男女可,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,5L迄,・自転車通勤可能 ・女性メインの工程となります。男性が基本的にいないです。 作業台も女性に合わせた高さとなっております,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,毎週月曜日,毎週水曜日,毎週金曜日,2日程度,,兵庫県 三木市
os932,OS,,兵庫,(採)大阪,1105925,グリコマニュファクチャリングジャパン神戸,派遣,5名,お菓子の製造 プリッツ、ポッキー、ビスコなどの製造,兵庫県神戸市西区高塚台7丁目1番,"【必要資格】 ・特になし 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間( 1,400円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①12:50～21:50　休憩60分 ②04:50～13:50　休憩60分 ③20:50～05:50　休憩60分,土日,"1,400円/時",28万円程度,勤務/20日 残業/10h 深夜/40h 休出/16h,336万円程度,3交替,西神中央駅,車 バイク ※持ち込み必須,上限3万円迄/月,寮費3割本人負担 実費2万円弱程度,個室寮,・未経験54歳迄 ・経験者59歳迄,男性のみ,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,不可,不可,5L迄,車、バイク持ち込み必須,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,毎週月曜日,毎週水曜日,毎週金曜日,2日程度,随時問い合わせ,兵庫県 神戸市
os933,OS,,兵庫,(採)大阪,104097,AGCグラスプロダクツ よも川,派遣,0名,ビル、マンション用のペア硝子製造,兵庫県尼崎市道意町7-7-1,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,325円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙(屋外に喫煙場所あり)",①08:30～17:30　休憩75分 ②21:00～06:00　休憩75分,土日,"1,325円/時",26万円程度,勤務/21日 残業/30h 深夜/58h 休出/7.75h ,312万円程度,2交替,尼崎ｾﾝﾀｰﾌﾟｰﾙ前,交通機関 バイク 自転車,上限3万円迄/月,"本人負担4割 (実費24,000円～26,000円)",個室寮,40代迄 ※35歳以上は製造経験必須,男性のみ,不可,不可,不可,不可,4L迄,・年中かなり暑い現場になります。,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,毎週火曜日,4～5日程度,随時問い合わせ,兵庫県 尼崎市
os934,OS,,兵庫,(採)大阪,10880-04,グリコマニュファクチャリングジャパン柏原 ,派遣,0名,粉ミルクの製造,兵庫県丹波市柏原北中427番地,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,300円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①08:00～17:00　休憩60分,土日祝,"1,300円/時",24万円程度,勤務/20日 残業/20h 深夜/0h 休出/0h,288万円程度,日勤,柏原駅,車 自転車 バイク ※送迎なし,上限3万円迄/月,無料,個室寮,55歳迄,女性のみ,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,可 ※同シフト不可,不可,5L迄,-,20万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～5日程度,随時問い合わせ,兵庫県 丹波市
